Strength,Temperature,Pressure
41.3,280.0,10.0
32.2,280.0,18.0
36.7,240.0,10.0
25.8,200.0,12.0
28.6,250.0,16.0
36.4,290.0,14.0
28.2,250.0,16.0
17.7,220.0,20.0
29.5,240.0,14.0
22.2,210.0,14.0
29.0,240.0,16.0
32.6,290.0,20.0
16.7,220.0,20.0
12.7,200.0,20.0
21.3,210.0,16.0
34.4,260.0,10.0
29.0,210.0,10.0
27.9,210.0,10.0
28.2,240.0,14.0
35.9,270.0,14.0
18.5,200.0,20.0
26.199999999999996,240.0,16.0
26.7,220.0,10.0
26.1,230.0,16.0
19.7,230.0,20.0
40.1,280.0,12.0
27.7,270.0,20.0
21.9,210.0,16.0
27.3,220.0,12.0
34.70000000000001,290.0,18.0
35.8,280.0,18.0
40.20000000000001,280.0,10.0
33.7,270.0,14.0
35.5,270.0,14.0
25.200000000000003,260.0,20.0
16.7,210.0,18.0
31.900000000000006,240.0,12.0
36.5,280.0,18.0
37.7,270.0,10.0
18.8,220.0,20.0
38.2,270.0,10.0
45.0,300.0,12.0
22.4,200.0,10.0
24.7,250.0,18.0
33.5,290.0,18.0
21.2,240.0,20.0
39.7,290.0,12.0
34.70000000000001,280.0,20.0
41.7,290.0,10.0
26.6,260.0,20.0
40.6,290.0,12.0
32.7,260.0,14.0
26.7,240.0,16.0
14.7,200.0,18.0
34.5,260.0,16.0
28.2,270.0,20.0
35.5,250.0,10.0
24.7,260.0,20.0
22.8,230.0,18.0
17.5,210.0,20.0
42.7,300.0,10.0
23.8,230.0,20.0
27.2,240.0,14.0
32.6,280.0,18.0
33.2,300.0,20.0
24.7,220.0,18.0
29.5,250.0,14.0
30.4,240.0,10.0
16.2,200.0,18.0
35.3,290.0,18.0
40.7,270.0,12.0
22.3,240.0,20.0
33.5,300.0,20.0
22.7,230.0,18.0
35.5,260.0,12.0
21.2,210.0,14.0
26.1,250.0,20.0
32.7,290.0,18.0
31.5,280.0,18.0
32.8,280.0,18.0
15.5,200.0,20.0
42.7,290.0,14.0
41.7,300.0,12.0
28.799999999999997,230.0,12.0
37.2,270.0,10.0
39.7,300.0,14.0
30.199999999999996,260.0,16.0
28.699999999999996,280.0,20.0
36.2,290.0,16.0
16.3,200.0,18.0
17.2,200.0,16.0
40.20000000000001,290.0,12.0
31.299999999999997,260.0,16.0
36.2,280.0,16.0
27.3,210.0,10.0
26.199999999999996,220.0,12.0
28.6,240.0,14.0
31.5,250.0,14.0
41.9,300.0,14.0
36.5,250.0,10.0
17.5,200.0,18.0
30.199999999999996,260.0,16.0
39.2,300.0,14.0
29.699999999999996,280.0,20.0
34.3,290.0,18.0
29.9,220.0,10.0
34.5,240.0,12.0
23.7,250.0,20.0
42.2,300.0,12.0
28.5,230.0,16.0
37.300000000000004,260.0,10.0
28.2,220.0,10.0
27.7,250.0,16.0
28.6,250.0,16.0
37.0,290.0,18.0
20.2,230.0,20.0
28.699999999999996,260.0,16.0
41.50000000000001,290.0,12.0
29.299999999999997,260.0,18.0
44.5,290.0,10.0
32.2,280.0,20.0
24.1,240.0,20.0
33.7,280.0,16.0
32.2,290.0,20.0
26.6,210.0,10.0
30.699999999999996,280.0,18.0
24.7,260.0,20.0
28.300000000000004,220.0,10.0
26.4,230.0,12.0
34.2,290.0,20.0
38.6,270.0,10.0
26.6,250.0,18.0
36.5,270.0,16.0
38.3,290.0,14.0
25.8,240.0,20.0
31.799999999999997,230.0,12.0
27.5,250.0,16.0
38.6,290.0,14.0
18.7,230.0,20.0
23.5,240.0,20.0
33.2,270.0,14.0
25.200000000000003,240.0,16.0
38.7,300.0,16.0
33.7,260.0,12.0
30.5,210.0,10.0
18.7,200.0,14.0
18.3,200.0,16.0
25.5,210.0,10.0
30.60000000000001,270.0,18.0
32.5,250.0,16.0
18.6,210.0,18.0
29.9,270.0,20.0
34.70000000000001,280.0,14.0
32.4,270.0,14.0
28.699999999999996,250.0,20.0
33.8,250.0,14.0
30.4,270.0,16.0
30.799999999999997,230.0,10.0
30.699999999999996,240.0,16.0
34.2,260.0,12.0
38.8,300.0,16.0
37.8,270.0,14.0
23.5,230.0,18.0
40.6,280.0,10.0
32.6,290.0,20.0
27.7,230.0,12.0
40.20000000000001,290.0,12.0
24.3,200.0,10.0
21.2,230.0,18.0
30.4,280.0,18.0
40.20000000000001,280.0,10.0
35.9,280.0,16.0
